Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),THERMAL ZONE 1 THERMAL ZONE:Zone Mean Air Temperature [C](TimeStep) 
 01/25  01:54:00,20.4,20.40129981897955 
 01/25  01:55:00,20.4,20.40129981897907 
 01/25  01:56:00,20.4,20.40129981897859 
 01/25  01:57:00,20.4,20.401299818978118 
 01/25  01:58:00,20.4,20.401299818977657 
 01/25  01:59:00,20.4,20.401299818977205 
 01/25  02:00:00,20.4,20.40129981897677 
 01/25  02:01:00,20.4,20.401299818976349 
 01/25  02:02:00,20.4,20.40129981897593 
 01/25  02:03:00,20.4,20.40129981897551 
 01/25  02:04:00,20.4,20.401299818975095 
 01/25  02:05:00,20.4,20.401299818974687 
 01/25  02:06:00,20.4,20.40129981897428 
 01/25  02:07:00,20.4,20.401299818973887 
 01/25  02:08:00,20.4,20.401299818973507 
 01/25  02:09:00,20.4,20.401299818973138 
 01/25  02:10:00,20.4,20.40129981897278 
 01/25  02:11:00,20.4,20.401299818972438 
 01/25  02:12:00,20.4,20.401299818972107 
 01/25  02:13:00,20.4,20.401299818971784 
 01/25  02:14:00,20.4,20.401299818971468 
 01/25  02:15:00,20.4,20.40129981897116 
 01/25  02:16:00,20.4,20.40129981897087 
 01/25  02:17:00,20.4,20.401299818970604 
 01/25  02:18:00,20.4,20.40129981897037 
 01/25  02:19:00,20.4,20.40129981897017 
 01/25  02:20:00,20.4,20.401299818970015 
 01/25  02:21:00,20.4,20.40129981896989 
 01/25  02:22:00,20.4,20.4012998189698 
 01/25  02:23:00,20.4,20.401299818969748 
 01/25  02:24:00,20.4,20.401299818969738 
 01/25  02:25:00,20.4,20.401299818969777 
 01/25  02:26:00,20.4,20.40129981896987 
 01/25  02:27:00,20.4,20.40129981897003 
 01/25  02:28:00,20.4,20.401299818970263 
 01/25  02:29:00,20.4,20.401299818970565 
 01/25  02:30:00,20.4,20.401299818970935 
 01/25  02:31:00,20.4,20.40129981897137 
 01/25  02:32:00,20.4,20.40129981897188 
 01/25  02:33:00,20.4,20.401299818972459 
 01/25  02:34:00,20.4,20.401299818973116 
 01/25  02:35:00,20.4,20.40129981897385 
 01/25  02:36:00,20.4,20.401299818974658 
 01/25  02:37:00,20.4,20.401299818975529 
 01/25  02:38:00,20.4,20.401299818976459 
 01/25  02:39:00,20.4,20.401299818977443 
 01/25  02:40:00,20.4,20.401299818978467 
 01/25  02:41:00,20.4,20.40129981897951 
 01/25  02:42:00,20.4,20.401299818980559 
 01/25  02:43:00,20.4,20.401299818981589 
 01/25  02:44:00,20.4,20.40129981898258 
 01/25  02:45:00,20.4,20.401299818983515 
 01/25  02:46:00,20.4,20.401299818984368 
 01/25  02:47:00,20.4,20.40129981898513 
 01/25  02:48:00,20.4,20.401299818985807 
 01/25  02:49:00,20.4,20.401299818986396 
 01/25  02:50:00,20.4,20.401299818986897 
 01/25  02:51:00,20.4,20.401299818987316 
 01/25  02:52:00,20.4,20.401299818987665 
 01/25  02:53:00,20.4,20.40129981898794 
 01/25  02:54:00,20.4,20.40129981898816 
 01/25  02:55:00,20.4,20.40129981898833 
 01/25  02:56:00,20.4,20.40129981898847 
 01/25  02:57:00,20.4,20.401299818988599 
 01/25  02:58:00,20.4,20.401299818988738 
 01/25  02:59:00,20.4,20.40129981898891 
 01/25  03:00:00,20.4,20.401299818989139 
 01/25  03:01:00,20.4,20.401299818989448 
 01/25  03:02:00,20.4,20.40129981898986 
 01/25  03:03:00,20.4,20.401299818990386 
 01/25  03:04:00,20.4,20.401299818991029 
 01/25  03:05:00,20.4,20.4012998189918 
 01/25  03:06:00,20.4,20.4012998189927 
 01/25  03:07:00,20.4,20.401299818993736 
 01/25  03:08:00,20.4,20.40129981899488 
 01/25  03:09:00,20.4,20.401299818996124 
 01/25  03:10:00,20.4,20.40129981899745 
 01/25  03:11:00,20.4,20.401299818998838 
 01/25  03:12:00,20.4,20.401299819000259 
 01/25  03:13:00,20.4,20.401299819001687 
 01/25  03:14:00,20.4,20.4012998190031 
 01/25  03:15:00,20.4,20.401299819004483 
 01/25  03:16:00,20.4,20.40129981900582 
 01/25  03:17:00,20.4,20.401299819007098 
 01/25  03:18:00,20.4,20.4012998190083 
 01/25  03:19:00,20.4,20.40129981900942 
 01/25  03:20:00,20.4,20.401299819010455 
 01/25  03:21:00,20.4,20.401299819011407 
 01/25  03:22:00,20.4,20.40129981901228 
 01/25  03:23:00,20.4,20.401299819013095 
 01/25  03:24:00,20.4,20.40129981901386 
 01/25  03:25:00,20.4,20.401299819014605 
 01/25  03:26:00,20.4,20.401299819015333 
 01/25  03:27:00,20.4,20.401299819016058 
 01/25  03:28:00,20.4,20.401299819016793 
 01/25  03:29:00,20.4,20.401299819017539 
