Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),THERMAL ZONE 1:Zone Mean Air Temperature [C](TimeStep) 
 01/25  05:47:00,20.4,20.403248195768286 
 01/25  05:48:00,20.4,20.403248195768048 
 01/25  05:49:00,20.4,20.403248195767838 
 01/25  05:50:00,20.4,20.403248195767654 
 01/25  05:51:00,20.4,20.403248195767497 
 01/25  05:52:00,20.4,20.40324819576737 
 01/25  05:53:00,20.4,20.403248195767288 
 01/25  05:54:00,20.4,20.403248195767238 
 01/25  05:55:00,20.4,20.403248195767227 
 01/25  05:56:00,20.4,20.403248195767256 
 01/25  05:57:00,20.4,20.403248195767334 
 01/25  05:58:00,20.4,20.403248195767458 
 01/25  05:59:00,20.4,20.40324819576763 
 01/25  06:00:00,20.4,20.40324819576785 
 01/25  06:01:00,20.4,20.403248195768119 
 01/25  06:02:00,20.4,20.403248195768425 
 01/25  06:03:00,20.4,20.40324819576876 
 01/25  06:04:00,20.4,20.40324819576912 
 01/25  06:05:00,20.4,20.403248195769483 
 01/25  06:06:00,20.4,20.40324819576984 
 01/25  06:07:00,20.4,20.403248195770187 
 01/25  06:08:00,20.4,20.403248195770514 
 01/25  06:09:00,20.4,20.403248195770819 
 01/25  06:10:00,20.4,20.403248195771096 
 01/25  06:11:00,20.4,20.40324819577133 
 01/25  06:12:00,20.4,20.403248195771519 
 01/25  06:13:00,20.4,20.40324819577165 
 01/25  06:14:00,20.4,20.403248195771718 
 01/25  06:15:00,20.4,20.40324819577172 
 01/25  06:16:00,20.4,20.403248195771647 
 01/25  06:17:00,20.4,20.403248195771498 
 01/25  06:18:00,20.4,20.40324819577127 
 01/25  06:19:00,20.4,20.403248195770965 
 01/25  06:20:00,20.4,20.403248195770574 
 01/25  06:21:00,20.4,20.403248195770105 
 01/25  06:22:00,20.4,20.403248195769565 
 01/25  06:23:00,20.4,20.403248195768947 
 01/25  06:24:00,20.4,20.40324819576825 
 01/25  06:25:00,20.4,20.403248195767483 
 01/25  06:26:00,20.4,20.40324819576665 
 01/25  06:27:00,20.4,20.40324819576576 
 01/25  06:28:00,20.4,20.40324819576482 
 01/25  06:29:00,20.4,20.40324819576385 
 01/25  06:30:00,20.4,20.403248195762865 
 01/25  06:31:00,20.4,20.40324819576186 
 01/25  06:32:00,20.4,20.403248195760847 
 01/25  06:33:00,20.4,20.403248195759806 
 01/25  06:34:00,20.4,20.40324819575873 
 01/25  06:35:00,20.4,20.403248195757617 
 01/25  06:36:00,20.4,20.403248195756459 
 01/25  06:37:00,20.4,20.403248195755248 
 01/25  06:38:00,20.4,20.40324819575399 
 01/25  06:39:00,20.4,20.403248195752693 
 01/25  06:40:00,20.4,20.403248195751354 
 01/25  06:41:00,20.4,20.403248195749986 
 01/25  06:42:00,20.4,20.403248195748604 
 01/25  06:43:00,20.4,20.403248195747215 
 01/25  06:44:00,20.4,20.403248195745829 
 01/25  06:45:00,20.4,20.403248195744454 
 01/25  06:46:00,20.4,20.403248195743119 
 01/25  06:47:00,20.4,20.403248195741825 
 01/25  06:48:00,20.4,20.40324819574057 
 01/25  06:49:00,20.4,20.40324819573936 
 01/25  06:50:00,20.4,20.403248195738198 
 01/25  06:51:00,20.4,20.403248195737079 
 01/25  06:52:00,20.4,20.40324819573601 
 01/25  06:53:00,20.4,20.403248195735 
 01/25  06:54:00,20.4,20.403248195734059 
 01/25  06:55:00,20.4,20.40324819573318 
 01/25  06:56:00,20.4,20.403248195732368 
 01/25  06:57:00,20.4,20.403248195731626 
 01/25  06:58:00,20.4,20.403248195730968 
 01/25  06:59:00,20.4,20.403248195730386 
 01/25  07:00:00,20.4,20.403248195729888 
 01/25  07:01:00,20.4,20.40324819572947 
 01/25  07:02:00,20.4,20.40324819572913 
 01/25  07:03:00,20.4,20.403248195728865 
 01/25  07:04:00,20.4,20.403248195728666 
 01/25  07:05:00,20.4,20.403248195728513 
 01/25  07:06:00,20.4,20.403248195728396 
 01/25  07:07:00,20.4,20.40324819572829 
 01/25  07:08:00,20.4,20.403248195728179 
 01/25  07:09:00,20.4,20.40324819572805 
 01/25  07:10:00,20.4,20.403248195727888 
 01/25  07:11:00,20.4,20.403248195727679 
 01/25  07:12:00,20.4,20.403248195727405 
 01/25  07:13:00,20.4,20.40324819572707 
 01/25  07:14:00,20.4,20.403248195726677 
 01/25  07:15:00,20.4,20.40324819572623 
 01/25  07:16:00,20.4,20.403248195725749 
 01/25  07:17:00,20.4,20.40324819572522 
 01/25  07:18:00,20.4,20.403248195724659 
 01/25  07:19:00,20.4,20.403248195724076 
 01/25  07:20:00,20.4,20.403248195723479 
 01/25  07:21:00,20.4,20.403248195722868 
 01/25  07:22:00,20.4,20.40324819572226 
 01/25  07:23:00,20.4,20.403248195721664 
 01/25  07:24:00,20.4,20.403248195721085 
 01/25  07:25:00,20.4,20.403248195720534 
 01/25  07:26:00,20.4,20.403248195720015 
 01/25  07:27:00,20.4,20.40324819571954 
 01/25  07:28:00,20.4,20.403248195719109 
 01/25  07:29:00,20.4,20.403248195718726 
 01/25  07:30:00,20.4,20.403248195718399 
 01/25  07:31:00,20.4,20.403248195718147 
 01/25  07:32:00,20.4,20.403248195717976 
 01/25  07:33:00,20.4,20.40324819571789 
 01/25  07:34:00,20.4,20.40324819571788 
 01/25  07:35:00,20.4,20.40324819571794 
 01/25  07:36:00,20.4,20.403248195718058 
 01/25  07:37:00,20.4,20.403248195718203 
 01/25  07:38:00,20.4,20.403248195718367 
 01/25  07:39:00,20.4,20.403248195718534 
 01/25  07:40:00,20.4,20.40324819571868 
 01/25  07:41:00,20.4,20.403248195718804 
 01/25  07:42:00,20.4,20.40324819571889 
 01/25  07:43:00,20.4,20.40324819571896 
 01/25  07:44:00,20.4,20.403248195719006 
 01/25  07:45:00,20.4,20.40324819571904 
 01/25  07:46:00,20.4,20.40324819571906 
 01/25  07:47:00,20.4,20.403248195719074 
 01/25  07:48:00,20.4,20.403248195719077 
 01/25  07:49:00,20.4,20.403248195719063 
 01/25  07:50:00,20.4,20.403248195719017 
 01/25  07:51:00,20.4,20.403248195718928 
 01/25  07:52:00,20.4,20.403248195718786 
 01/25  07:53:00,20.4,20.40324819571858 
 01/25  07:54:00,20.4,20.403248195718306 
 01/25  07:55:00,20.4,20.403248195717955 
 01/25  07:56:00,20.4,20.40324819571753 
 01/25  07:57:00,20.4,20.403248195717035 
 01/25  07:58:00,20.4,20.403248195716466 
 01/25  07:59:00,20.4,20.403248195715837 
 01/25  08:00:00,20.4,20.403248195715159 
 01/25  08:01:00,20.4,20.403248195714434 
 01/25  08:02:00,20.4,20.403248195713667 
 01/25  08:03:00,20.4,20.403248195712867 
 01/25  08:04:00,20.4,20.40324819571205 
 01/25  08:05:00,20.4,20.403248195711215 
 01/25  08:06:00,20.4,20.403248195710377 
 01/25  08:07:00,20.4,20.403248195709545 
 01/25  08:08:00,20.4,20.403248195708739 
 01/25  08:09:00,20.4,20.403248195707968 
 01/25  08:10:00,20.4,20.40324819570725 
 01/25  08:11:00,20.4,20.403248195706604 
 01/25  08:12:00,20.4,20.40324819570604 
 01/25  08:13:00,20.4,20.40324819570557 
 01/25  08:14:00,20.4,20.403248195705197 
 01/25  08:15:00,20.4,20.403248195704934 
 01/25  08:16:00,20.4,20.403248195704788 
 01/25  08:17:00,20.4,20.403248195704767 
 01/25  08:18:00,20.4,20.40324819570486 
 01/25  08:19:00,20.4,20.403248195705065 
 01/25  08:20:00,20.4,20.40324819570537 
 01/25  08:21:00,20.4,20.403248195705765 
 01/25  08:22:00,20.4,20.403248195706227 
 01/25  08:23:00,20.4,20.403248195706749 
 01/25  08:24:00,20.4,20.403248195707307 
 01/25  08:25:00,20.4,20.40324819570789 
 01/25  08:26:00,20.4,20.403248195708497 
 01/25  08:27:00,20.4,20.403248195709116 
 01/25  08:28:00,20.4,20.403248195709755 
 01/25  08:29:00,20.4,20.40324819571041 
 01/25  08:30:00,20.4,20.403248195711087 
 01/25  08:31:00,20.4,20.403248195711794 
 01/25  08:32:00,20.4,20.403248195712533 
 01/25  08:33:00,20.4,20.403248195713308 
 01/25  08:34:00,20.4,20.40324819571412 
 01/25  08:35:00,20.4,20.40324819571496 
 01/25  08:36:00,20.4,20.403248195715809 
 01/25  08:37:00,20.4,20.403248195716658 
 01/25  08:38:00,20.4,20.40324819571748 
 01/25  08:39:00,20.4,20.403248195718278 
 01/25  08:40:00,20.4,20.403248195719045 
 01/25  08:41:00,20.4,20.403248195719784 
 01/25  08:42:00,20.4,20.403248195720495 
 01/25  08:43:00,20.4,20.403248195721177 
 01/25  08:44:00,20.4,20.403248195721834 
 01/25  08:45:00,20.4,20.403248195722463 
 01/25  08:46:00,20.4,20.403248195723056 
 01/25  08:47:00,20.4,20.40324819572361 
 01/25  08:48:00,20.4,20.403248195724129 
 01/25  08:49:00,20.4,20.403248195724609 
 01/25  08:50:00,20.4,20.40324819572506 
 01/25  08:51:00,20.4,20.403248195725486 
 01/25  08:52:00,20.4,20.40324819572589 
 01/25  08:53:00,20.4,20.403248195726268 
 01/25  08:54:00,20.4,20.403248195726627 
 01/25  08:55:00,20.4,20.403248195726968 
 01/25  08:56:00,20.4,20.403248195727284 
 01/25  08:57:00,20.4,20.403248195727575 
 01/25  08:58:00,20.4,20.403248195727845 
 01/25  08:59:00,20.4,20.40324819572808 
 01/25  09:00:00,20.4,20.40324819572827 
 01/25  09:01:00,20.4,20.403248195728414 
 01/25  09:02:00,20.4,20.403248195728499 
 01/25  09:03:00,20.4,20.403248195728528 
 01/25  09:04:00,20.4,20.403248195728489 
 01/25  09:05:00,20.4,20.403248195728375 
 01/25  09:06:00,20.4,20.40324819572819 
 01/25  09:07:00,20.4,20.403248195727959 
 01/25  09:08:00,20.4,20.403248195727686 
 01/25  09:09:00,20.4,20.40324819572739 
 01/25  09:10:00,20.4,20.40324819572708 
 01/25  09:11:00,20.4,20.403248195726758 
 01/25  09:12:00,20.4,20.403248195726424 
 01/25  09:13:00,20.4,20.403248195726087 
 01/25  09:14:00,20.4,20.403248195725739 
 01/25  09:15:00,20.4,20.403248195725376 
 01/25  09:16:00,20.4,20.403248195724996 
 01/25  09:17:00,20.4,20.403248195724584 
 01/25  09:18:00,20.4,20.403248195724129 
 01/25  09:19:00,20.4,20.403248195723614 
 01/25  09:20:00,20.4,20.40324819572303 
 01/25  09:21:00,20.4,20.403248195722364 
 01/25  09:22:00,20.4,20.403248195721614 
 01/25  09:23:00,20.4,20.403248195720776 
 01/25  09:24:00,20.4,20.40324819571986 
 01/25  09:25:00,20.4,20.40324819571888 
