Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),TZ_CLIMA:Zone Mean Air Temperature [C](TimeStep),TZ_GUARDA:Zone Mean Air Temperature [C](TimeStep),TZ_HABITACION:Zone Mean Air Temperature [C](TimeStep) 
 01/25  00:01:00,20.4,20.399999999999996,20.42990407529647,20.42988274813318 
 01/25  00:02:00,20.4,20.4,20.429882748652294,20.429861436990099 
 01/25  00:03:00,20.4,20.4,20.429861437508458,20.429840141335853 
 01/25  00:04:00,20.4,20.4,20.429840141853459,20.42981886115894 
 01/25  00:05:00,20.4,20.4,20.429818861675796,20.429797596447867 
 01/25  00:06:00,20.4,20.4,20.42979759696398,20.42977634719115 
 01/25  00:07:00,20.4,20.4,20.429776347706516,20.42975511337733 
 01/25  00:08:00,20.4,20.4,20.429755113891948,20.429733894994944 
 01/25  00:09:00,20.4,20.4,20.429733895508816,20.429712692032529 
 01/25  00:10:00,20.4,20.399999999999996,20.429712692545658,20.42969150447864 
 01/25  00:11:00,20.4,20.4,20.429691504991025,20.42967033232186 
 01/25  00:12:00,20.4,20.4,20.4296703328335,20.429649175550766 
 01/25  00:13:00,20.4,20.4,20.429649176061667,20.429628034153944 
 01/25  00:14:00,20.4,20.4,20.429628034664103,20.429606908119998 
 01/25  00:15:00,20.4,20.399999999999996,20.42960690862942,20.429585797437534 
 01/25  00:16:00,20.4,20.4,20.42958579794622,20.429564702095158 
 01/25  00:17:00,20.4,20.4,20.429564702603103,20.429543622081487 
 01/25  00:18:00,20.4,20.4,20.4295436225887,20.429522557385157 
 01/25  00:19:00,20.4,20.399999999999996,20.429522557891635,20.429501507994794 
 01/25  00:20:00,20.4,20.4,20.42950150850054,20.429480473899046 
 01/25  00:21:00,20.4,20.399999999999996,20.429480474404057,20.42945945508656 
 01/25  00:22:00,20.4,20.400000000000003,20.42945945559084,20.429438451546007 
 01/25  00:23:00,20.4,20.4,20.42943845204956,20.429417463266057 
 01/25  00:24:00,20.4,20.399999999999996,20.429417463768883,20.429396490235399 
 01/25  00:25:00,20.4,20.399999999999996,20.429396490737497,20.429375532442717 
 01/25  00:26:00,20.4,20.399999999999996,20.429375532944087,20.429354589876718 
 01/25  00:27:00,20.4,20.4,20.42935459037736,20.42933366252611 
 01/25  00:28:00,20.4,20.399999999999996,20.42933366302603,20.429312750379606 
 01/25  00:29:00,20.4,20.399999999999996,20.429312750878798,20.429291853425928 
 01/25  00:30:00,20.4,20.4,20.429291853924398,20.429270971653815 
 01/25  00:31:00,20.4,20.4,20.429270972151568,20.42925010505199 
 01/25  00:32:00,20.4,20.4,20.429250105549025,20.429229253609198 
 01/25  00:33:00,20.4,20.399999999999996,20.429229254105509,20.429208417314187 
 01/25  00:34:00,20.4,20.399999999999996,20.42920841780978,20.42918759615572 
 01/25  00:35:00,20.4,20.39999999999999,20.429187596650598,20.42916679012258 
 01/25  00:36:00,20.4,20.399999999999996,20.42916679061674,20.42914599920355 
 01/25  00:37:00,20.4,20.4,20.429145999696993,20.42912522338742 
 01/25  00:38:00,20.4,20.399999999999996,20.42912522388015,20.429104462663 
 01/25  00:39:00,20.4,20.4,20.429104463155015,20.4290837170191 
 01/25  00:40:00,20.4,20.4,20.42908371751041,20.429062986444547 
 01/25  00:41:00,20.4,20.4,20.429062986935138,20.429042270928158 
 01/25  00:42:00,20.4,20.4,20.429042271418046,20.42902157045878 
 01/25  00:43:00,20.4,20.4,20.429021570947957,20.429000885025255 
 01/25  00:44:00,20.4,20.4,20.429000885513724,20.42898021461643 
 01/25  00:45:00,20.4,20.4,20.428980215104195,20.42895955922117 
 01/25  00:46:00,20.4,20.399999999999996,20.428959559708223,20.428938918828345 
 01/25  00:47:00,20.4,20.399999999999996,20.428938919314697,20.42891829342683 
 01/25  00:48:00,20.4,20.39999999999999,20.428918293912476,20.428897683005507 
 01/25  00:49:00,20.4,20.399999999999996,20.42889768349045,20.428877087553269 
 01/25  00:50:00,20.4,20.4,20.42887708803751,20.42885650705902 
 01/25  00:51:00,20.4,20.4,20.428856507542564,20.428835941511669 
 01/25  00:52:00,20.4,20.4,20.42883594199451,20.42881539090013 
 01/25  00:53:00,20.4,20.399999999999996,20.428815391382274,20.428794855213338 
 01/25  00:54:00,20.4,20.4,20.42879485569478,20.42877433444022 
 01/25  00:55:00,20.4,20.399999999999996,20.42877433492097,20.42875382856973 
 01/25  00:56:00,20.4,20.39999999999999,20.428753829049783,20.428733337590808 
 01/25  00:57:00,20.4,20.39999999999999,20.428733338070165,20.428712861492408 
 01/25  00:58:00,20.4,20.4,20.42871286197107,20.428692400263487 
 01/25  00:59:00,20.4,20.4,20.428692400741459,20.428671953893006 
 01/25  01:00:00,20.4,20.4,20.428671954370285,20.428651522369944 
 01/25  01:01:00,20.4,20.399999999999996,20.428651522846537,20.42863110568329 
 01/25  01:02:00,20.4,20.4,20.428631106159196,20.428610703822053 
 01/25  01:03:00,20.4,20.399999999999996,20.42861070429727,20.42859031677524 
 01/25  01:04:00,20.4,20.399999999999996,20.428590317249765,20.42856994453187 
 01/25  01:05:00,20.4,20.399999999999996,20.42856994500571,20.42854958708097 
 01/25  01:06:00,20.4,20.399999999999996,20.428549587554124,20.428529244411587 
 01/25  01:07:00,20.4,20.399999999999996,20.428529244884055,20.42850891651276 
 01/25  01:08:00,20.4,20.4,20.428508916984545,20.42848860337355 
 01/25  01:09:00,20.4,20.4,20.428488603844654,20.42846830498302 
 01/25  01:10:00,20.4,20.4,20.428468305453444,20.42844802133023 
 01/25  01:11:00,20.4,20.399999999999996,20.428448021799967,20.428427752404259 
 01/25  01:12:00,20.4,20.399999999999996,20.428427752873316,20.428407498194184 
 01/25  01:13:00,20.4,20.399999999999996,20.428407498662567,20.428387258689115 
 01/25  01:14:00,20.4,20.4,20.428387259156819,20.42836703387816 
 01/25  01:15:00,20.4,20.399999999999996,20.428367034345194,20.428346823750436 
 01/25  01:16:00,20.4,20.399999999999996,20.428346824216786,20.428326628295065 
 01/25  01:17:00,20.4,20.4,20.42832662876074,20.42830644750117 
 01/25  01:18:00,20.4,20.399999999999996,20.428306447966177,20.42828628135789 
 01/25  01:19:00,20.4,20.4,20.42828628182222,20.428266129854369 
 01/25  01:20:00,20.4,20.4,20.428266130318027,20.428245992979745 
 01/25  01:21:00,20.4,20.399999999999996,20.42824599344273,20.428225870723176 
 01/25  01:22:00,20.4,20.399999999999996,20.428225871185494,20.428205763073828 
 01/25  01:23:00,20.4,20.399999999999996,20.428205763535478,20.42818567002088 
 01/25  01:24:00,20.4,20.399999999999996,20.428185670481868,20.428165591553534 
 01/25  01:25:00,20.4,20.4,20.428165592013849,20.42814552766098 
 01/25  01:26:00,20.4,20.4,20.428145528120635,20.42812547833243 
 01/25  01:27:00,20.4,20.4,20.428125478791416,20.42810544355708 
 01/25  01:28:00,20.4,20.399999999999996,20.4281054440154,20.42808542332414 
 01/25  01:29:00,20.4,20.4,20.4280854237818,20.428065417622827 
 01/25  01:30:00,20.4,20.4,20.428065418079826,20.428045426442368 
 01/25  01:31:00,20.4,20.399999999999996,20.428045426898707,20.428025449772 
 01/25  01:32:00,20.4,20.399999999999996,20.428025450227677,20.428005487600985 
 01/25  01:33:00,20.4,20.399999999999996,20.428005488056,20.427985539918568 
 01/25  01:34:00,20.4,20.4,20.427985540372928,20.427965606714019 
 01/25  01:35:00,20.4,20.399999999999996,20.42796560716772,20.42794568797661 
 01/25  01:36:00,20.4,20.399999999999996,20.427945688429657,20.427925783695625 
 01/25  01:37:00,20.4,20.4,20.427925784148017,20.42790589386035 
 01/25  01:38:00,20.4,20.4,20.427905894312084,20.427886018460084 
 01/25  01:39:00,20.4,20.399999999999996,20.42788601891117,20.427866157484126 
 01/25  01:40:00,20.4,20.399999999999996,20.42786615793456,20.427846310921795 
 01/25  01:41:00,20.4,20.399999999999996,20.42784631137157,20.427826478762407 
 01/25  01:42:00,20.4,20.4,20.427826479211537,20.427806660995289 
 01/25  01:43:00,20.4,20.399999999999996,20.427806661443765,20.427786857609776 
 01/25  01:44:00,20.4,20.399999999999996,20.427786858057606,20.427767068595207 
 01/25  01:45:00,20.4,20.4,20.42776706904239,20.42774729394092 
 01/25  01:46:00,20.4,20.4,20.427747294387463,20.42772753363628 
 01/25  01:47:00,20.4,20.4,20.42772753408217,20.427707787670639 
 01/25  01:48:00,20.4,20.399999999999996,20.427707788115887,20.42768805603338 
 01/25  01:49:00,20.4,20.399999999999996,20.42768805647798,20.42766833871388 
 01/25  01:50:00,20.4,20.4,20.427668339157838,20.427648635701528 
 01/25  01:51:00,20.4,20.4,20.427648636144846,20.427628946985736 
 01/25  01:52:00,20.4,20.399999999999996,20.427628947428415,20.427609272555917 
 01/25  01:53:00,20.4,20.4,20.427609272997957,20.427589612401506 
 01/25  01:54:00,20.4,20.4,20.4275896128429,20.42756996651193 
 01/25  01:55:00,20.4,20.399999999999996,20.427569966952693,20.427550334876629 
 01/25  01:56:00,20.4,20.399999999999996,20.427550335316757,20.427530717485057 
 01/25  01:57:00,20.4,20.399999999999996,20.42753071792454,20.427511114326685 
 01/25  01:58:00,20.4,20.399999999999996,20.427511114765538,20.42749152539098 
 01/25  01:59:00,20.4,20.399999999999996,20.4274915258292,20.427471950667419 
 01/25  02:00:00,20.4,20.4,20.427471951105,20.42745239014548 
 01/25  02:01:00,20.4,20.399999999999996,20.427452390582429,20.427432843814658 
 01/25  02:02:00,20.4,20.4,20.427432844250978,20.427413311664439 
 01/25  02:03:00,20.4,20.4,20.42741331210013,20.427393793684315 
 01/25  02:04:00,20.4,20.4,20.42739379411937,20.427374289863779 
 01/25  02:05:00,20.4,20.399999999999996,20.427374290298208,20.427354800192327 
 01/25  02:06:00,20.4,20.4,20.427354800626128,20.427335324659475 
 01/25  02:07:00,20.4,20.4,20.427335325092657,20.42731586325473 
 01/25  02:08:00,20.4,20.4,20.427315863687285,20.427296415967619 
 01/25  02:09:00,20.4,20.399999999999996,20.427296416399544,20.427276982787676 
 01/25  02:10:00,20.4,20.399999999999996,20.427276983218975,20.427257563704449 
 01/25  02:11:00,20.4,20.4,20.42725756413513,20.4272381587075 
 01/25  02:12:00,20.4,20.399999999999996,20.427238159137553,20.427218767786394 
 01/25  02:13:00,20.4,20.399999999999996,20.427218768215825,20.427199390930715 
 01/25  02:14:00,20.4,20.4,20.42719939135953,20.427180028130058 
 01/25  02:15:00,20.4,20.4,20.427180028558248,20.427160679374027 
 01/25  02:16:00,20.4,20.4,20.4271606798016,20.427141344652239 
 01/25  02:17:00,20.4,20.399999999999996,20.427141345079194,20.427122023954316 
 01/25  02:18:00,20.4,20.4,20.427122024380656,20.42710271726989 
 01/25  02:19:00,20.4,20.399999999999996,20.42710271769561,20.427083424588589 
 01/25  02:20:00,20.4,20.39999999999999,20.42708342501369,20.427064145900049 
 01/25  02:21:00,20.4,20.4,20.427064146324537,20.42704488119391 
 01/25  02:22:00,20.4,20.4,20.427044881617794,20.42702563045983 
 01/25  02:23:00,20.4,20.4,20.427025630883099,20.427006393687454 
 01/25  02:24:00,20.4,20.399999999999996,20.42700639411011,20.426987170866448 
 01/25  02:25:00,20.4,20.4,20.426987171288489,20.42696796198648 
 01/25  02:26:00,20.4,20.399999999999996,20.426967962407916,20.426948767037229 
 01/25  02:27:00,20.4,20.4,20.42694876745805,20.42692958600836 
 01/25  02:28:00,20.4,20.399999999999996,20.426929586428579,20.426910418889567 
 01/25  02:29:00,20.4,20.4,20.426910419309178,20.426891265670546 
 01/25  02:30:00,20.4,20.399999999999996,20.426891266089549,20.426872126340986 
 01/25  02:31:00,20.4,20.4,20.42687212675938,20.42685300089061 
 01/25  02:32:00,20.4,20.399999999999996,20.4268530013084,20.426833889309138 
 01/25  02:33:00,20.4,20.399999999999996,20.42683388972633,20.4268147915863 
 01/25  02:34:00,20.4,20.399999999999996,20.426814792002888,20.42679570771184 
 01/25  02:35:00,20.4,20.4,20.426795708127828,20.426776637675503 
 01/25  02:36:00,20.4,20.4,20.426776638090887,20.426757581467056 
 01/25  02:37:00,20.4,20.399999999999996,20.426757581881838,20.426738539076259 
 01/25  02:38:00,20.4,20.399999999999996,20.426738539490445,20.426719510492885 
 01/25  02:39:00,20.4,20.399999999999996,20.42671951090647,20.426700495706706 
 01/25  02:40:00,20.4,20.399999999999996,20.42670049611969,20.426681494707517 
 01/25  02:41:00,20.4,20.400000000000003,20.426681495119909,20.42666250748511 
 01/25  02:42:00,20.4,20.399999999999996,20.4266625078969,20.42664353402928 
 01/25  02:43:00,20.4,20.4,20.426643534440485,20.426624574329858 
 01/25  02:44:00,20.4,20.399999999999996,20.42662457474047,20.42660562837666 
 01/25  02:45:00,20.4,20.400000000000003,20.426605628786676,20.426586696159509 
 01/25  02:46:00,20.4,20.4,20.42658669656893,20.42656777766824 
 01/25  02:47:00,20.4,20.4,20.426567778077076,20.4265488728927 
 01/25  02:48:00,20.4,20.399999999999996,20.42654887330094,20.426529981822744 
 01/25  02:49:00,20.4,20.399999999999996,20.42652998223039,20.42651110444823 
 01/25  02:50:00,20.4,20.399999999999996,20.426511104855295,20.42649224075904 
 01/25  02:51:00,20.4,20.399999999999996,20.426492241165513,20.42647339074504 
 01/25  02:52:00,20.4,20.4,20.426473391150926,20.426454554396118 
 01/25  02:53:00,20.4,20.4,20.426454554801418,20.426435731702165 
 01/25  02:54:00,20.4,20.399999999999996,20.426435732106879,20.426416922653073 
 01/25  02:55:00,20.4,20.4,20.4264169230572,20.42639812723874 
 01/25  02:56:00,20.4,20.4,20.426398127642288,20.426379345449076 
 01/25  02:57:00,20.4,20.4,20.426379345852039,20.42636057727399 
 01/25  02:58:00,20.4,20.399999999999996,20.426360577676367,20.426341822703415 
 01/25  02:59:00,20.4,20.4,20.426341823105216,20.42632308172729 
 01/25  03:00:00,20.4,20.399999999999996,20.42632308212851,20.426304354335568 
 01/25  03:01:00,20.4,20.4,20.426304354736208,20.42628564051821 
 01/25  03:02:00,20.4,20.4,20.426285640918274,20.426266940265188 
 01/25  03:03:00,20.4,20.399999999999996,20.426266940664676,20.426248253566475 
 01/25  03:04:00,20.4,20.39999999999999,20.42624825396538,20.42622958041205 
 01/25  03:05:00,20.4,20.4,20.42622958081038,20.42621092079188 
 01/25  03:06:00,20.4,20.399999999999996,20.426210921189634,20.42619227469596 
 01/25  03:07:00,20.4,20.4,20.426192275093145,20.426173642114276 
 01/25  03:08:00,20.4,20.399999999999996,20.42617364251088,20.426155023036818 
 01/25  03:09:00,20.4,20.4,20.426155023432846,20.42613641745359 
 01/25  03:10:00,20.4,20.4,20.42613641784905,20.426117825354603 
 01/25  03:11:00,20.4,20.4,20.42611782574949,20.42609924672987 
 01/25  03:12:00,20.4,20.399999999999996,20.426099247124197,20.426080681569418 
 01/25  03:13:00,20.4,20.399999999999996,20.426080681963165,20.426062129863284 
 01/25  03:14:00,20.4,20.4,20.426062130256466,20.426043591601525 
 01/25  03:15:00,20.4,20.4,20.426043591994138,20.42602506677419 
 01/25  03:16:00,20.4,20.399999999999996,20.426025067166238,20.426006555371364 
 01/25  03:17:00,20.4,20.39999999999999,20.426006555762844,20.425988057383117 
 01/25  03:18:00,20.4,20.4,20.42598805777403,20.425969572799539 
 01/25  03:19:00,20.4,20.4,20.42596957318989,20.425951101610715 
 01/25  03:20:00,20.4,20.4,20.4259511020005,20.425932643806733 
 01/25  03:21:00,20.4,20.4,20.425932644195954,20.425914199377684 
 01/25  03:22:00,20.4,20.4,20.425914199766344,20.425895768313667 
 01/25  03:23:00,20.4,20.4,20.425895768701769,20.425877350604798 
 01/25  03:24:00,20.4,20.4,20.425877350992339,20.425858946241179 
 01/25  03:25:00,20.4,20.4,20.42585894662816,20.425840555212937 
 01/25  03:26:00,20.4,20.4,20.425840555599359,20.425822177510207 
 01/25  03:27:00,20.4,20.399999999999996,20.42582217789607,20.425803813123129 
 01/25  03:28:00,20.4,20.399999999999996,20.425803813508439,20.425785462041863 
 01/25  03:29:00,20.4,20.39999999999999,20.425785462426615,20.425767124256578 
 01/25  03:30:00,20.4,20.4,20.425767124640776,20.425748799757434 
