Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),THERMAL ZONE 1 THERMAL ZONE:Zone Mean Air Temperature [C](TimeStep) 
 01/25  01:54:00,20.4,19.305833670867405 
 01/25  01:55:00,20.4,19.305833670867658 
 01/25  01:56:00,20.4,19.305833670867867 
 01/25  01:57:00,20.4,19.305833670868045 
 01/25  01:58:00,20.4,19.305833670868198 
 01/25  01:59:00,20.4,19.305833670868318 
 01/25  02:00:00,20.4,19.305833670868407 
 01/25  02:01:00,20.4,19.305833670868464 
 01/25  02:02:00,20.4,19.30583367086849 
 01/25  02:03:00,20.4,19.305833670868496 
 01/25  02:04:00,20.4,19.30583367086847 
 01/25  02:05:00,20.4,19.305833670868414 
 01/25  02:06:00,20.4,19.305833670868318 
 01/25  02:07:00,20.4,19.30583367086818 
 01/25  02:08:00,20.4,19.305833670868006 
 01/25  02:09:00,20.4,19.305833670867807 
 01/25  02:10:00,20.4,19.305833670867587 
 01/25  02:11:00,20.4,19.30583367086735 
 01/25  02:12:00,20.4,19.305833670867118 
 01/25  02:13:00,20.4,19.305833670866887 
 01/25  02:14:00,20.4,19.30583367086667 
 01/25  02:15:00,20.4,19.305833670866475 
 01/25  02:16:00,20.4,19.3058336708663 
 01/25  02:17:00,20.4,19.30583367086615 
 01/25  02:18:00,20.4,19.305833670866034 
 01/25  02:19:00,20.4,19.30583367086594 
 01/25  02:20:00,20.4,19.305833670865878 
 01/25  02:21:00,20.4,19.30583367086584 
 01/25  02:22:00,20.4,19.305833670865846 
 01/25  02:23:00,20.4,19.305833670865878 
 01/25  02:24:00,20.4,19.305833670865945 
 01/25  02:25:00,20.4,19.305833670866048 
 01/25  02:26:00,20.4,19.305833670866176 
 01/25  02:27:00,20.4,19.305833670866318 
 01/25  02:28:00,20.4,19.305833670866475 
 01/25  02:29:00,20.4,19.305833670866638 
 01/25  02:30:00,20.4,19.305833670866805 
 01/25  02:31:00,20.4,19.305833670866965 
 01/25  02:32:00,20.4,19.305833670867128 
 01/25  02:33:00,20.4,19.30583367086728 
 01/25  02:34:00,20.4,19.305833670867423 
 01/25  02:35:00,20.4,19.30583367086755 
 01/25  02:36:00,20.4,19.30583367086766 
 01/25  02:37:00,20.4,19.305833670867754 
 01/25  02:38:00,20.4,19.305833670867828 
 01/25  02:39:00,20.4,19.305833670867896 
 01/25  02:40:00,20.4,19.305833670867956 
 01/25  02:41:00,20.4,19.305833670868024 
 01/25  02:42:00,20.4,19.305833670868095 
 01/25  02:43:00,20.4,19.30583367086818 
 01/25  02:44:00,20.4,19.305833670868279 
 01/25  02:45:00,20.4,19.305833670868386 
 01/25  02:46:00,20.4,19.3058336708685 
 01/25  02:47:00,20.4,19.30583367086862 
 01/25  02:48:00,20.4,19.30583367086873 
 01/25  02:49:00,20.4,19.305833670868819 
 01/25  02:50:00,20.4,19.305833670868883 
 01/25  02:51:00,20.4,19.30583367086892 
 01/25  02:52:00,20.4,19.305833670868937 
 01/25  02:53:00,20.4,19.305833670868929 
 01/25  02:54:00,20.4,19.305833670868905 
 01/25  02:55:00,20.4,19.305833670868858 
 01/25  02:56:00,20.4,19.30583367086879 
 01/25  02:57:00,20.4,19.305833670868706 
 01/25  02:58:00,20.4,19.305833670868606 
 01/25  02:59:00,20.4,19.305833670868496 
 01/25  03:00:00,20.4,19.305833670868386 
 01/25  03:01:00,20.4,19.305833670868286 
 01/25  03:02:00,20.4,19.30583367086821 
 01/25  03:03:00,20.4,19.305833670868169 
 01/25  03:04:00,20.4,19.30583367086816 
 01/25  03:05:00,20.4,19.305833670868194 
 01/25  03:06:00,20.4,19.305833670868265 
 01/25  03:07:00,20.4,19.30583367086838 
 01/25  03:08:00,20.4,19.305833670868556 
 01/25  03:09:00,20.4,19.305833670868784 
 01/25  03:10:00,20.4,19.305833670869068 
 01/25  03:11:00,20.4,19.3058336708694 
 01/25  03:12:00,20.4,19.305833670869775 
 01/25  03:13:00,20.4,19.305833670870176 
 01/25  03:14:00,20.4,19.30583367087059 
 01/25  03:15:00,20.4,19.305833670870997 
 01/25  03:16:00,20.4,19.30583367087138 
 01/25  03:17:00,20.4,19.305833670871743 
 01/25  03:18:00,20.4,19.30583367087208 
 01/25  03:19:00,20.4,19.305833670872397 
 01/25  03:20:00,20.4,19.305833670872685 
 01/25  03:21:00,20.4,19.305833670872948 
 01/25  03:22:00,20.4,19.30583367087319 
 01/25  03:23:00,20.4,19.30583367087341 
 01/25  03:24:00,20.4,19.30583367087361 
 01/25  03:25:00,20.4,19.305833670873786 
 01/25  03:26:00,20.4,19.305833670873939 
 01/25  03:27:00,20.4,19.305833670874067 
 01/25  03:28:00,20.4,19.305833670874166 
 01/25  03:29:00,20.4,19.305833670874244 
 01/25  03:30:00,20.4,19.305833670874305 
 01/25  03:31:00,20.4,19.305833670874354 
 01/25  03:32:00,20.4,19.3058336708744 
 01/25  03:33:00,20.4,19.30583367087443 
 01/25  03:34:00,20.4,19.305833670874447 
 01/25  03:35:00,20.4,19.305833670874443 
 01/25  03:36:00,20.4,19.305833670874415 
 01/25  03:37:00,20.4,19.305833670874365 
 01/25  03:38:00,20.4,19.3058336708743 
 01/25  03:39:00,20.4,19.305833670874227 
 01/25  03:40:00,20.4,19.30583367087414 
 01/25  03:41:00,20.4,19.305833670874045 
 01/25  03:42:00,20.4,19.305833670873946 
 01/25  03:43:00,20.4,19.30583367087384 
 01/25  03:44:00,20.4,19.305833670873726 
 01/25  03:45:00,20.4,19.305833670873584 
 01/25  03:46:00,20.4,19.305833670873409 
 01/25  03:47:00,20.4,19.305833670873189 
 01/25  03:48:00,20.4,19.305833670872916 
 01/25  03:49:00,20.4,19.305833670872578 
 01/25  03:50:00,20.4,19.305833670872187 
 01/25  03:51:00,20.4,19.30583367087175 
 01/25  03:52:00,20.4,19.30583367087128 
 01/25  03:53:00,20.4,19.30583367087079 
 01/25  03:54:00,20.4,19.3058336708703 
 01/25  03:55:00,20.4,19.30583367086982 
 01/25  03:56:00,20.4,19.305833670869366 
 01/25  03:57:00,20.4,19.30583367086894 
 01/25  03:58:00,20.4,19.30583367086854 
 01/25  03:59:00,20.4,19.305833670868169 
 01/25  04:00:00,20.4,19.305833670867817 
 01/25  04:01:00,20.4,19.305833670867484 
 01/25  04:02:00,20.4,19.30583367086716 
 01/25  04:03:00,20.4,19.30583367086685 
 01/25  04:04:00,20.4,19.305833670866556 
 01/25  04:05:00,20.4,19.30583367086626 
 01/25  04:06:00,20.4,19.305833670865959 
 01/25  04:07:00,20.4,19.305833670865657 
 01/25  04:08:00,20.4,19.30583367086536 
 01/25  04:09:00,20.4,19.305833670865075 
 01/25  04:10:00,20.4,19.3058336708648 
 01/25  04:11:00,20.4,19.30583367086454 
 01/25  04:12:00,20.4,19.305833670864293 
 01/25  04:13:00,20.4,19.305833670864066 
 01/25  04:14:00,20.4,19.30583367086385 
 01/25  04:15:00,20.4,19.30583367086365 
 01/25  04:16:00,20.4,19.305833670863448 
 01/25  04:17:00,20.4,19.305833670863245 
 01/25  04:18:00,20.4,19.305833670863039 
 01/25  04:19:00,20.4,19.305833670862826 
 01/25  04:20:00,20.4,19.30583367086261 
 01/25  04:21:00,20.4,19.30583367086241 
 01/25  04:22:00,20.4,19.30583367086223 
 01/25  04:23:00,20.4,19.305833670862098 
 01/25  04:24:00,20.4,19.305833670862 
 01/25  04:25:00,20.4,19.305833670861956 
 01/25  04:26:00,20.4,19.305833670861966 
 01/25  04:27:00,20.4,19.305833670862037 
 01/25  04:28:00,20.4,19.30583367086216 
 01/25  04:29:00,20.4,19.30583367086233 
 01/25  04:30:00,20.4,19.305833670862538 
 01/25  04:31:00,20.4,19.30583367086277 
 01/25  04:32:00,20.4,19.30583367086303 
 01/25  04:33:00,20.4,19.305833670863298 
 01/25  04:34:00,20.4,19.305833670863568 
 01/25  04:35:00,20.4,19.305833670863824 
 01/25  04:36:00,20.4,19.305833670864045 
 01/25  04:37:00,20.4,19.30583367086422 
 01/25  04:38:00,20.4,19.305833670864354 
 01/25  04:39:00,20.4,19.305833670864425 
 01/25  04:40:00,20.4,19.30583367086443 
 01/25  04:41:00,20.4,19.305833670864375 
 01/25  04:42:00,20.4,19.30583367086425 
 01/25  04:43:00,20.4,19.30583367086406 
 01/25  04:44:00,20.4,19.305833670863817 
 01/25  04:45:00,20.4,19.30583367086352 
 01/25  04:46:00,20.4,19.305833670863199 
 01/25  04:47:00,20.4,19.305833670862858 
 01/25  04:48:00,20.4,19.305833670862513 
 01/25  04:49:00,20.4,19.305833670862169 
 01/25  04:50:00,20.4,19.305833670861835 
 01/25  04:51:00,20.4,19.30583367086152 
 01/25  04:52:00,20.4,19.30583367086123 
 01/25  04:53:00,20.4,19.305833670860957 
 01/25  04:54:00,20.4,19.30583367086071 
 01/25  04:55:00,20.4,19.305833670860506 
 01/25  04:56:00,20.4,19.305833670860325 
 01/25  04:57:00,20.4,19.30583367086018 
 01/25  04:58:00,20.4,19.305833670860083 
 01/25  04:59:00,20.4,19.30583367086002 
 01/25  05:00:00,20.4,19.305833670859998 
 01/25  05:01:00,20.4,19.305833670860016 
