Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),THERMAL ZONE 1 THERMAL ZONE:Zone Mean Air Temperature [C](TimeStep) 
 01/25  02:10:00,20.4,20.40129981897535 
 01/25  02:11:00,20.4,20.401299818975858 
 01/25  02:12:00,20.4,20.40129981897633 
 01/25  02:13:00,20.4,20.401299818976778 
 01/25  02:14:00,20.4,20.4012998189772 
 01/25  02:15:00,20.4,20.40129981897761 
 01/25  02:16:00,20.4,20.401299818978003 
 01/25  02:17:00,20.4,20.401299818978384 
 01/25  02:18:00,20.4,20.40129981897875 
 01/25  02:19:00,20.4,20.40129981897911 
 01/25  02:20:00,20.4,20.40129981897946 
 01/25  02:21:00,20.4,20.4012998189798 
 01/25  02:22:00,20.4,20.40129981898013 
 01/25  02:23:00,20.4,20.401299818980444 
 01/25  02:24:00,20.4,20.401299818980743 
 01/25  02:25:00,20.4,20.401299818981016 
 01/25  02:26:00,20.4,20.40129981898126 
 01/25  02:27:00,20.4,20.401299818981474 
 01/25  02:28:00,20.4,20.401299818981638 
 01/25  02:29:00,20.4,20.40129981898173 
 01/25  02:30:00,20.4,20.401299818981744 
 01/25  02:31:00,20.4,20.40129981898167 
 01/25  02:32:00,20.4,20.401299818981496 
 01/25  02:33:00,20.4,20.40129981898122 
 01/25  02:34:00,20.4,20.401299818980853 
 01/25  02:35:00,20.4,20.4012998189804 
 01/25  02:36:00,20.4,20.401299818979883 
 01/25  02:37:00,20.4,20.401299818979318 
 01/25  02:38:00,20.4,20.40129981897871 
 01/25  02:39:00,20.4,20.401299818978067 
 01/25  02:40:00,20.4,20.401299818977403 
 01/25  02:41:00,20.4,20.401299818976725 
 01/25  02:42:00,20.4,20.401299818976046 
 01/25  02:43:00,20.4,20.40129981897537 
 01/25  02:44:00,20.4,20.401299818974703 
 01/25  02:45:00,20.4,20.40129981897405 
 01/25  02:46:00,20.4,20.401299818973417 
 01/25  02:47:00,20.4,20.40129981897281 
 01/25  02:48:00,20.4,20.401299818972216 
 01/25  02:49:00,20.4,20.401299818971637 
 01/25  02:50:00,20.4,20.401299818971083 
 01/25  02:51:00,20.4,20.401299818970553 
 01/25  02:52:00,20.4,20.40129981897005 
 01/25  02:53:00,20.4,20.401299818969576 
 01/25  02:54:00,20.4,20.401299818969136 
 01/25  02:55:00,20.4,20.40129981896872 
 01/25  02:56:00,20.4,20.401299818968337 
 01/25  02:57:00,20.4,20.40129981896799 
 01/25  02:58:00,20.4,20.40129981896767 
 01/25  02:59:00,20.4,20.40129981896737 
 01/25  03:00:00,20.4,20.401299818967097 
 01/25  03:01:00,20.4,20.40129981896685 
 01/25  03:02:00,20.4,20.40129981896664 
 01/25  03:03:00,20.4,20.40129981896645 
 01/25  03:04:00,20.4,20.40129981896628 
 01/25  03:05:00,20.4,20.40129981896612 
 01/25  03:06:00,20.4,20.401299818965963 
 01/25  03:07:00,20.4,20.4012998189658 
 01/25  03:08:00,20.4,20.401299818965615 
 01/25  03:09:00,20.4,20.401299818965416 
 01/25  03:10:00,20.4,20.401299818965203 
 01/25  03:11:00,20.4,20.40129981896498 
 01/25  03:12:00,20.4,20.40129981896476 
 01/25  03:13:00,20.4,20.401299818964546 
 01/25  03:14:00,20.4,20.401299818964343 
 01/25  03:15:00,20.4,20.401299818964148 
 01/25  03:16:00,20.4,20.40129981896396 
 01/25  03:17:00,20.4,20.401299818963775 
 01/25  03:18:00,20.4,20.401299818963597 
 01/25  03:19:00,20.4,20.401299818963434 
 01/25  03:20:00,20.4,20.40129981896329 
 01/25  03:21:00,20.4,20.401299818963185 
 01/25  03:22:00,20.4,20.40129981896313 
 01/25  03:23:00,20.4,20.401299818963132 
 01/25  03:24:00,20.4,20.4012998189632 
 01/25  03:25:00,20.4,20.401299818963338 
 01/25  03:26:00,20.4,20.401299818963537 
 01/25  03:27:00,20.4,20.401299818963782 
 01/25  03:28:00,20.4,20.401299818964066 
 01/25  03:29:00,20.4,20.40129981896438 
 01/25  03:30:00,20.4,20.401299818964702 
 01/25  03:31:00,20.4,20.40129981896503 
 01/25  03:32:00,20.4,20.401299818965345 
 01/25  03:33:00,20.4,20.401299818965644 
 01/25  03:34:00,20.4,20.40129981896591 
 01/25  03:35:00,20.4,20.40129981896613 
 01/25  03:36:00,20.4,20.401299818966304 
 01/25  03:37:00,20.4,20.40129981896642 
 01/25  03:38:00,20.4,20.40129981896648 
 01/25  03:39:00,20.4,20.40129981896648 
 01/25  03:40:00,20.4,20.40129981896642 
 01/25  03:41:00,20.4,20.401299818966308 
 01/25  03:42:00,20.4,20.401299818966148 
 01/25  03:43:00,20.4,20.40129981896593 
 01/25  03:44:00,20.4,20.40129981896567 
 01/25  03:45:00,20.4,20.401299818965366 
 01/25  03:46:00,20.4,20.401299818965022 
 01/25  03:47:00,20.4,20.40129981896465 
 01/25  03:48:00,20.4,20.40129981896425 
 01/25  03:49:00,20.4,20.40129981896384 
 01/25  03:50:00,20.4,20.40129981896341 
 01/25  03:51:00,20.4,20.401299818962958 
 01/25  03:52:00,20.4,20.40129981896249 
 01/25  03:53:00,20.4,20.401299818962006 
 01/25  03:54:00,20.4,20.401299818961515 
 01/25  03:55:00,20.4,20.401299818961025 
 01/25  03:56:00,20.4,20.401299818960542 
 01/25  03:57:00,20.4,20.40129981896008 
 01/25  03:58:00,20.4,20.40129981895965 
 01/25  03:59:00,20.4,20.401299818959263 
 01/25  04:00:00,20.4,20.401299818958933 
 01/25  04:01:00,20.4,20.401299818958666 
 01/25  04:02:00,20.4,20.401299818958467 
 01/25  04:03:00,20.4,20.401299818958332 
 01/25  04:04:00,20.4,20.40129981895826 
 01/25  04:05:00,20.4,20.40129981895825 
 01/25  04:06:00,20.4,20.401299818958304 
 01/25  04:07:00,20.4,20.401299818958414 
 01/25  04:08:00,20.4,20.401299818958577 
 01/25  04:09:00,20.4,20.40129981895879 
 01/25  04:10:00,20.4,20.401299818959043 
 01/25  04:11:00,20.4,20.401299818959323 
 01/25  04:12:00,20.4,20.401299818959632 
