Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),TZ_CLIMA:Zone Mean Air Temperature [C](TimeStep),TZ_GUARDA:Zone Mean Air Temperature [C](TimeStep),TZ_HABITACION:Zone Mean Air Temperature [C](TimeStep) 
 01/25  00:01:00,20.4,20.4,20.409073138076346,20.409062381342115 
 01/25  00:02:00,20.4,20.4,20.409062381418356,20.40905163764737 
 01/25  00:03:00,20.4,20.399999999999996,20.40905163772343,20.409040906899795 
 01/25  00:04:00,20.4,20.399999999999996,20.409040906975674,20.409030189083518 
 01/25  00:05:00,20.4,20.39999999999999,20.40903018915921,20.409019484182676 
 01/25  00:06:00,20.4,20.4,20.409019484258186,20.409008792181436 
 01/25  00:07:00,20.4,20.39999999999999,20.409008792256768,20.40899811306398 
 01/25  00:08:00,20.4,20.39999999999999,20.408998113139128,20.408987446814515 
 01/25  00:09:00,20.4,20.39999999999999,20.408987446889485,20.408976793417254 
 01/25  00:10:00,20.4,20.4,20.408976793492049,20.408966152856434 
 01/25  00:11:00,20.4,20.4,20.408966152931045,20.408955525116317 
 01/25  00:12:00,20.4,20.4,20.40895552519075,20.408944910181185 
 01/25  00:13:00,20.4,20.4,20.408944910255447,20.40893430803532 
 01/25  00:14:00,20.4,20.4,20.4089343081094,20.40892371866304 
 01/25  00:15:00,20.4,20.399999999999996,20.40892371873694,20.408913142048676 
 01/25  00:16:00,20.4,20.399999999999996,20.4089131421224,20.408902578176578 
 01/25  00:17:00,20.4,20.4,20.40890257825012,20.408892027031123 
 01/25  00:18:00,20.4,20.4,20.4088920271045,20.40888148859672 
 01/25  00:19:00,20.4,20.4,20.408881488669917,20.408870962857788 
 01/25  00:20:00,20.4,20.4,20.40887096293081,20.408860449798757 
 01/25  00:21:00,20.4,20.399999999999996,20.4088604498716,20.40884994940409 
 01/25  00:22:00,20.4,20.399999999999996,20.408849949476765,20.408839461658269 
 01/25  00:23:00,20.4,20.4,20.40883946173077,20.408828986545779 
 01/25  00:24:00,20.4,20.399999999999996,20.408828986618109,20.40881852405114 
 01/25  00:25:00,20.4,20.4,20.408818524123288,20.408808074158875 
 01/25  00:26:00,20.4,20.399999999999996,20.408808074230856,20.40879763685354 
 01/25  00:27:00,20.4,20.4,20.408797636925347,20.4087872121197 
 01/25  00:28:00,20.4,20.399999999999996,20.40878721219134,20.40877679994195 
 01/25  00:29:00,20.4,20.4,20.408776800013418,20.408766400304903 
 01/25  00:30:00,20.4,20.399999999999996,20.408766400376199,20.408756013193196 
 01/25  00:31:00,20.4,20.4,20.408756013264317,20.40874563859147 
 01/25  00:32:00,20.4,20.4,20.40874563866242,20.408735276484408 
 01/25  00:33:00,20.4,20.4,20.408735276555189,20.408724926856697 
 01/25  00:34:00,20.4,20.399999999999996,20.40872492692731,20.40871458969304 
 01/25  00:35:00,20.4,20.399999999999996,20.40871458976349,20.408704264978174 
 01/25  00:36:00,20.4,20.4,20.408704265048447,20.408693952696838 
 01/25  00:37:00,20.4,20.399999999999996,20.408693952766943,20.40868365283379 
 01/25  00:38:00,20.4,20.399999999999996,20.408683652903734,20.408673365373809 
 01/25  00:39:00,20.4,20.4,20.40867336544358,20.40866309030167 
 01/25  00:40:00,20.4,20.4,20.408663090371275,20.40865282760217 
 01/25  00:41:00,20.4,20.4,20.40865282767161,20.40864257726015 
 01/25  00:42:00,20.4,20.399999999999996,20.40864257732942,20.408632339260444 
 01/25  00:43:00,20.4,20.399999999999996,20.408632339329548,20.408622113587929 
 01/25  00:44:00,20.4,20.399999999999996,20.408622113656869,20.40861190022749 
 01/25  00:45:00,20.4,20.399999999999996,20.408611900296266,20.40860169916404 
 01/25  00:46:00,20.4,20.4,20.40860169923265,20.40859151038223 
 01/25  00:47:00,20.4,20.399999999999996,20.40859151045068,20.408581333866534 
 01/25  00:48:00,20.4,20.4,20.408581333934817,20.40857116960132 
 01/25  00:49:00,20.4,20.399999999999996,20.408571169669444,20.408561017571015 
