Archivo de prueba Laboratorio de Edificaciones Sustentables	Fecha de prueba:	19/02/18	Hora de inicio	4:45 p. m.	Tiempo de prueba	24:00:00	Perfil Cámara Climática	Perfil Temp. Sol-Aire	Perfil Cámara Habitación	Sin aire acondicionado (Temp. variable)																																																		
Tempo entre registros	60	Temperatura máxima	27.9	Hora de temperatura máxima	15:00	Temperatura mínima	15.5	Mes	Enero	Latitud	18.9	Radiación solar difusa (Id)	209.2	Radiación solar directa (Ib)	386.1	Gamma	-90	Absortancia	0.3																																									
Fecha	Hora	Tiempo LabVIEW	Prom. Habitacón	Temp. Obj. Guarda	Promedio Guarda	Temp. Obj. Climática	Prom. Climática	Prom. SC Habitación	Prom. SC Climática	SFC-1 Hab Conv	SFC-2 Hab Rad	SFC-3 CC Conv	Hab Centro V1	Hab Centro V2	Hab Centro V3	Hab Izq V1	Hab Izq V2	Hab Izq V3	Hab Der V1	Hab Der V2	Hab Der V3	Hab MC P1	Hab MC MP2	Hab MC M3	Hab MC M4	Hab MC T5	Hab SC Sup Izq	Hab SC Sup Centro	Hab SC Sup Der	Hab SC Medio Izq	Hab SC Medio Centro	Hab SC Medio Der 	Hab SC Inf Izq	Hab SC Inf Centro	Hab SC Inf Der	Guarda P1	Guarda MP2	Guarda M3	Guarda M4	Guarda T5	CC Centro V1	CC Centro V2	CC Centro V3	CC  Izq V1	CC Izq V2	CC Izq V3	CC Der V1	CC Der V2	CC Der V3	CC SC Sup Der 	CC SC Sup Centro	CC SC Sup Izq	CC SC Medio Der	CC SC Medio Centro	CC SC Medio Izq	CC SC Inf Der	CC SC Inf Centro	CC SC Inf Izq	TP Sup CC	TP Sup Hab
19/02/18	4:54:07 p. m.	3601925647	22.179841	22.179841	22.931108	19.970501	20.239618	22.252475	20.38319	0.8236	1.356293	-6.525682	22.197442	21.808987	22.298586	22.223849	22.019909	21.916178	22.193542	22.153814	22.173952	21.774353	22.674149	22.639588	22.373004	22.070422	22.310265	22.340056	22.25721	22.225987	22.249389	22.265093	22.205844	22.206449	22.211984	22.651192	22.931283	22.786376	23.167725	23.118962	19.992433	20.155526	20.300101	20.165185	20.299001	20.244715	20.275461	20.622205	20.101934	20.334802	20.340425	20.298446	20.433622	20.414269	20.373941	20.409609	20.37306	20.47054	0	22.509142
19/02/18	4:55:07 p. m.	3601925707	22.180733	22.180733	22.507693	19.950405	20.763478	22.239098	20.790896	0.871408	1.412869	-6.250267	22.195249	21.79663	22.273769	22.210057	22.022067	21.907564	22.191135	22.144558	22.173829	21.837076	22.65133	22.635671	22.402493	22.088835	22.296133	22.323694	22.236627	22.213664	22.234985	22.24497	22.196303	22.200564	22.20494	22.19254	22.647276	22.418138	22.722064	22.558446	20.496688	20.664586	20.835625	20.72145	20.803675	20.768302	20.844654	21.108697	20.627622	20.79359	20.771158	20.701301	20.846237	20.796522	20.755726	20.814986	20.754436	20.884112	0	22.483313
19/02/18	4:56:07 p. m.	3601925767	22.176606	22.176606	22.298285	19.930329	20.705985	22.226823	20.569985	0.912851	1.472273	1.242449	22.181285	21.773583	22.277459	22.209211	22.011643	21.90763	22.182289	22.124528	22.168625	21.861868	22.625012	22.634618	22.417139	22.097597	22.275759	22.291051	22.223273	22.20283	22.22184	22.238738	22.19742	22.195479	22.195014	21.994726	22.423305	22.221427	22.509754	22.342214	20.506122	20.687012	20.812081	20.691959	20.822401	20.736363	20.650143	20.877537	20.570244	20.485165	20.56038	20.559003	20.56905	20.59435	20.611557	20.536219	20.591454	20.622685	0	22.447062
19/02/18	4:57:07 p. m.	3601925827	22.189009	22.189009	22.158381	19.910275	20.346293	22.209968	20.091869	0.992945	1.510135	8.936716	22.197467	21.769585	22.270516	22.207241	22.029511	21.911154	22.188997	22.149043	22.188872	21.905956	22.62617	22.636261	22.439752	22.125595	22.27584	22.286494	22.205599	22.182614	22.197465	22.212794	22.180922	22.168375	22.179609	21.912267	22.306071	22.120792	22.34317	22.109602	20.243851	20.390439	20.455343	20.322623	20.604353	20.445118	20.106964	20.335492	20.212459	19.86099	20.102401	20.229646	19.992407	20.157322	20.255669	19.8644	20.235469	20.128521	0	22.447436
19/02/18	4:58:07 p. m.	3601925887	22.189054	22.189054	21.950286	19.89024	19.857504	22.195828	19.612283	1.022903	1.52058	8.530402	22.198148	21.777054	22.259405	22.201764	22.03087	21.902425	22.207039	22.147892	22.178093	21.915927	22.615999	22.62352	22.453882	22.134739	22.259984	22.274421	22.192137	22.17351	22.186052	22.198872	22.164501	22.155137	22.157836	21.690911	22.115998	21.924304	22.123024	21.897196	19.805625	19.942081	19.963478	19.808499	20.167225	19.967701	19.5513	19.79361	19.718012	19.326682	19.63597	19.789513	19.505666	19.677099	19.837004	19.401064	19.800321	19.537232	0	22.428612
19/02/18	4:59:07 p. m.	3601925947	22.19082	22.19082	21.860369	19.870226	19.459947	22.185242	19.330024	1.03858	1.534289	5.674774	22.210489	21.783095	22.262953	22.202825	22.030337	21.90556	22.191881	22.149185	22.180994	21.929232	22.609005	22.620986	22.458225	22.13672	22.24934	22.262278	22.171706	22.161112	22.179626	22.192456	22.149381	22.14803	22.15325	21.580507	22.010082	21.824519	22.041283	21.845453	19.398611	19.532495	19.551833	19.387687	19.801558	19.529345	19.195144	19.457526	19.285328	19.061473	19.306576	19.445662	19.256267	19.409041	19.485815	19.203197	19.491912	19.310268	0	22.402729
19/02/18	5:00:07 p. m.	3601926007	22.180579	22.180579	21.938709	19.850228	19.297625	22.168197	19.302524	1.059069	1.52602	6.868023	22.206408	21.768424	22.252362	22.186022	22.028115	21.890013	22.171603	22.140794	22.172573	21.921125	22.591544	22.614342	22.451213	22.133575	22.228497	22.244705	22.158176	22.147342	22.150196	22.182373	22.130369	22.134035	22.138084	21.700096	22.039269	21.894727	22.11299	21.946462	19.174849	19.351021	19.372113	19.217796	19.600937	19.369821	19.110911	19.356913	19.124265	19.06848	19.277132	19.415576	19.222408	19.385874	19.429445	19.167717	19.431197	19.324889	0	22.382993
19/02/18	5:01:07 p. m.	3601926067	22.176107	22.176107	22.051984	19.830252	19.291983	22.163943	19.285317	1.097098	1.554526	4.709281	22.188455	21.7598	22.252575	22.199681	22.01077	21.879672	22.175931	22.124568	22.169811	21.927009	22.57834	22.610978	22.452967	22.134935	22.220674	22.24098	22.15252	22.143061	22.155347	22.165688	22.136649	22.125848	22.134719	21.806462	22.074212	21.981843	22.225043	22.172359	19.185122	19.31526	19.367849	19.212804	19.570615	19.397006	19.078606	19.366707	19.13388	19.037274	19.268477	19.336258	19.200982	19.385343	19.427754	19.152329	19.437855	19.321582	0	22.391893
19/02/18	5:02:07 p. m.	3601926127	22.178363	22.178363	22.287617	19.810298	19.415506	22.145701	19.464622	1.121623	1.590647	-0.548774	22.192668	21.76599	22.242224	22.185169	22.004913	21.875843	22.173718	22.136058	22.180195	21.945225	22.567379	22.604347	22.463862	22.15949	22.213396	22.223651	22.132258	22.118877	22.12907	22.150252	22.107018	22.113853	22.122938	22.030097	22.328791	22.18701	22.4921	22.400087	19.248037	19.423904	19.473374	19.338128	19.625571	19.463268	19.308588	19.586072	19.272612	19.306296	19.430467	19.478983	19.445387	19.538687	19.532193	19.405524	19.544267	19.499795	0	22.359005
19/02/18	5:03:07 p. m.	3601926187	22.156498	22.156498	22.128579	19.790366	20.019808	22.124822	20.132264	1.128453	1.60936	-5.688134	22.164181	21.737244	22.222543	22.165378	21.985106	21.854303	22.149301	22.108231	22.157771	21.94299	22.536051	22.588071	22.44843	22.13138	22.179202	22.196073	22.106696	22.108703	22.112442	22.121704	22.099391	22.093798	22.105386	21.853666	22.218521	22.061698	22.315139	22.193869	19.775834	19.963454	20.074198	19.959788	20.103491	20.030141	20.074757	20.329505	19.867105	20.109574	20.096107	20.072291	20.172662	20.15126	20.097564	20.161432	20.112493	20.216989	0	22.308767
