Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),HABITACION:Zone Mean Air Temperature [C](TimeStep) 
 01/25  02:24:00,20.4,22.34 
 01/25  02:25:00,20.4,22.340000000000003 
 01/25  02:26:00,20.4,22.340000000000003 
 01/25  02:27:00,20.4,22.34 
 01/25  02:28:00,20.4,22.340000000000003 
 01/25  02:29:00,20.4,22.34 
 01/25  02:30:00,20.4,22.34 
 01/25  02:31:00,20.4,22.340000000000003 
 01/25  02:32:00,20.4,22.34 
 01/25  02:33:00,20.4,22.34 
 01/25  02:34:00,20.4,22.340000000000003 
 01/25  02:35:00,20.4,22.34 
 01/25  02:36:00,20.4,22.34 
 01/25  02:37:00,20.4,22.34 
 01/25  02:38:00,20.4,22.34 
 01/25  02:39:00,20.4,22.34 
 01/25  02:40:00,20.4,22.340000000000003 
 01/25  02:41:00,20.4,22.34 
 01/25  02:42:00,20.4,22.34 
 01/25  02:43:00,20.4,22.339999999999996 
 01/25  02:44:00,20.4,22.34 
 01/25  02:45:00,20.4,22.34 
 01/25  02:46:00,20.4,22.34 
 01/25  02:47:00,20.4,22.339999999999996 
 01/25  02:48:00,20.4,22.340000000000003 
 01/25  02:49:00,20.4,22.34 
 01/25  02:50:00,20.4,22.34 
 01/25  02:51:00,20.4,22.340000000000003 
 01/25  02:52:00,20.4,22.34 
 01/25  02:53:00,20.4,22.34 
 01/25  02:54:00,20.4,22.34 
 01/25  02:55:00,20.4,22.340000000000003 
 01/25  02:56:00,20.4,22.340000000000003 
 01/25  02:57:00,20.4,22.339999999999996 
 01/25  02:58:00,20.4,22.339999999999996 
 01/25  02:59:00,20.4,22.34 
 01/25  03:00:00,20.4,22.34 
 01/25  03:01:00,20.4,22.34 
 01/25  03:02:00,20.4,22.340000000000003 
 01/25  03:03:00,20.4,22.34 
 01/25  03:04:00,20.4,22.34 
 01/25  03:05:00,20.4,22.34 
 01/25  03:06:00,20.4,22.340000000000003 
 01/25  03:07:00,20.4,22.340000000000003 
 01/25  03:08:00,20.4,22.34 
 01/25  03:09:00,20.4,22.339999999999996 
 01/25  03:10:00,20.4,22.34 
 01/25  03:11:00,20.4,22.34 
 01/25  03:12:00,20.4,22.34 
 01/25  03:13:00,20.4,22.340000000000003 
 01/25  03:14:00,20.4,22.340000000000003 
 01/25  03:15:00,20.4,22.340000000000003 
 01/25  03:16:00,20.4,22.34 
 01/25  03:17:00,20.4,22.34 
 01/25  03:18:00,20.4,22.34 
 01/25  03:19:00,20.4,22.34 
 01/25  03:20:00,20.4,22.34 
 01/25  03:21:00,20.4,22.340000000000003 
 01/25  03:22:00,20.4,22.340000000000003 
 01/25  03:23:00,20.4,22.34 
 01/25  03:24:00,20.4,22.34 
 01/25  03:25:00,20.4,22.339999999999996 
 01/25  03:26:00,20.4,22.340000000000003 
 01/25  03:27:00,20.4,22.34 
 01/25  03:28:00,20.4,22.34 
 01/25  03:29:00,20.4,22.340000000000003 
 01/25  03:30:00,20.4,22.34 
 01/25  03:31:00,20.4,22.34 
 01/25  03:32:00,20.4,22.339999999999996 
 01/25  03:33:00,20.4,22.340000000000003 
 01/25  03:34:00,20.4,22.340000000000003 
 01/25  03:35:00,20.4,22.340000000000003 
 01/25  03:36:00,20.4,22.34 
 01/25  03:37:00,20.4,22.34 
 01/25  03:38:00,20.4,22.34 
 01/25  03:39:00,20.4,22.34 
 01/25  03:40:00,20.4,22.34 
 01/25  03:41:00,20.4,22.340000000000003 
 01/25  03:42:00,20.4,22.340000000000003 
 01/25  03:43:00,20.4,22.340000000000003 
 01/25  03:44:00,20.4,22.34 
 01/25  03:45:00,20.4,22.34 
 01/25  03:46:00,20.4,22.340000000000003 
