Date/Time,EMS:Temperatura Habitacion [C](TimeStep),EMS:Temperatura exterior [C](TimeStep),M_SC:Surface Inside Face Temperature [C](TimeStep),M_SC:Surface Outside Face Temperature [C](TimeStep),M_SC:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](TimeStep),M_SC:Surface Inside Face Convection Heat Gain Rate [W](TimeStep),M_SC:Surface Inside Face Conduction Heat Transfer Rate [W](TimeStep),H_M2:Surface Inside Face Temperature [C](TimeStep),H_M2:Surface Outside Face Temperature [C](TimeStep),H_M2:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](TimeStep),H_M2:Surface Inside Face Convection Heat Gain Rate [W](TimeStep),H_M2:Surface Inside Face Conduction Heat Transfer Rate [W](TimeStep),M_SC2:Surface Inside Face Temperature [C](TimeStep),M_SC2:Surface Outside Face Temperature [C](TimeStep),M_SC2:Surface Inside Face Convection Heat Transfer Coefficient [W/m2-K](TimeStep),M_SC2:Surface Inside Face Convection Heat Gain Rate [W](TimeStep),M_SC2:Surface Inside Face Conduction Heat Transfer Rate [W](TimeStep),TZ_CLIMA:Zone Mean Air Temperature [C](TimeStep),TZ_GUARDA:Zone Mean Air Temperature [C](TimeStep),TZ_HABITACION:Zone Mean Air Temperature [C](TimeStep) 
 01/25  08:28:00,21.864153430289229,20.4,20.433464240307857,21.798572148630269,13.0,-1.9907207274338299,1.990689044382605,21.92909210396169,21.929071376855917,6.6,-1.9612518467862144,-0.9273388890722782,21.798572148630269,20.433464240307857,6.6,1.9806596361512743,-1.9819839321314977,20.399999999999996,21.86415343751942,21.86409285455203 
 01/25  08:29:00,21.86409285455203,20.4,20.43346285580713,21.798514286156416,13.0,-1.9906383662547698,1.9906066845139908,21.92902884148787,21.92900811523967,6.6,-1.9611707030414627,-0.9273005208781688,21.798514286156416,20.43346285580713,6.6,1.980577691257017,-1.981901932443982,20.4,21.86409286178165,21.864032281321088 
 01/25  08:30:00,21.864032281321088,20.4,20.433461471363669,21.798456426076599,13.0,-1.9905560084819383,1.9905243280510683,21.928965581631464,21.928944856240756,6.6,-1.9610895626538394,-0.9272621565067166,21.798456426076599,20.433461471363669,6.6,1.9804957497519705,-1.981819936148795,20.4,21.864032288550136,21.863971710596286 
 01/25  08:31:00,21.863971710596286,20.4,20.433460086977445,21.798398568390654,13.0,-1.9904736541142785,1.9904419749932525,21.928902324392305,21.928881599859108,6.6,-1.9610084256218426,-0.9272237910594269,21.798398568390654,20.433460086977445,6.6,1.9804138116376367,-1.9817379432481475,20.4,21.863971717824766,21.86391114237751 
 01/25  08:32:00,21.86391114237751,20.4,20.433458702648456,21.798340713098417,13.0,-1.990391303151368,1.9903596253400884,21.928839069770349,21.92881834609456,6.6,-1.9609272919475108,-0.9271854303046203,21.798340713098417,20.433458702648456,6.6,1.9803318769155174,-1.981655953743405,20.4,21.863911149605415,21.86385057666466 
 01/25  08:33:00,21.86385057666466,20.4,20.4334573183767,21.798282860199753,13.0,-1.9903089555932066,1.9902772790916735,21.928775817765414,21.928755094947076,6.6,-1.9608461616284832,-0.9271470674824159,21.798282860199753,20.4334573183767,6.6,1.9802499455865786,-1.981573967634633,20.399999999999996,21.863850583891997,21.863790013457608 
 01/25  08:34:00,21.863790013457608,20.4,20.433455934162187,21.79822500969456,13.0,-1.9902266114404282,1.990194936249048,21.928712568377475,21.92869184641647,6.6,-1.9607650346678716,-0.9271087100914229,21.79822500969456,20.433455934162187,6.6,1.9801680176500694,-1.981491984921116,20.4,21.86379002068437,21.863729452756233 
 01/25  08:35:00,21.863729452756233,20.4,20.433454550004947,21.798167161582737,13.0,-1.990144270694301,1.99011259681322,21.92864932160634,21.928628600502717,6.6,-1.9606839110634229,-0.9270703505706043,21.798167161582737,20.433454550004947,6.6,1.9800860931054528,-1.9814100056018456,20.399999999999996,21.86372945998242,21.863668894560438 
 01/25  08:36:00,21.863668894560438,20.4,20.433453165904976,21.798109315864207,13.0,-1.9900619333554593,1.990030260785035,21.928586077451987,21.92856535720562,6.6,-1.9606027908173903,-0.9270319965538293,21.798109315864207,20.433453165904976,6.6,1.9800041719520856,-1.9813280296751317,20.4,21.863668901786054,21.863608338870117 
 01/25  08:37:00,21.863608338870117,20.4,20.433451781862293,21.798051472538924,13.0,-1.9899795994241139,1.9899479281647532,21.92852283591421,21.928502116525164,6.6,-1.960521673926984,-0.9269936398110441,21.798051472538924,20.433451781862293,6.6,1.9799222541881434,-1.981246057139218,20.4,21.863608346095164,21.86354778568516 
